DATE,GDP
2000-01-01,10031.031
2000-04-01,10278.34
2000-07-01,10357.445
2000-10-01,10472.285
2001-01-01,10508.121
2001-04-01,10638.384
2001-07-01,10639.486
2001-10-01,10701.317
2002-01-01,10834.445
2002-04-01,10934.752
2002-07-01,11037.057
2002-10-01,11103.834
2003-01-01,11230.078
2003-04-01,11370.653
2003-07-01,11625.137
2003-10-01,11816.827
2004-01-01,11988.403
2004-04-01,12181.398
2004-07-01,12367.744
2004-10-01,12562.163
2005-01-01,12813.729
2005-04-01,12974.083
2005-07-01,13205.445
2005-10-01,13381.629
2006-01-01,13648.904
2006-04-01,13799.794
2006-07-01,13908.498
2006-10-01,14066.37
2007-01-01,14233.226
2007-04-01,14422.313
2007-07-01,14569.675
2007-10-01,14685.33
2008-01-01,14668.445
2008-04-01,14812.974
2008-07-01,14842.983
2008-10-01,14549.949
2009-01-01,14383.885
2009-04-01,14340.417
2009-07-01,14384.145
2009-10-01,14566.511
2010-01-01,14681.063
2010-04-01,14888.6
2010-07-01,15057.66
2010-10-01,15230.208
2011-01-01,15238.371
2011-04-01,15460.926
2011-07-01,15587.125
2011-10-01,15785.312
2012-01-01,15973.881
2012-04-01,16121.851
2012-07-01,16227.939
2012-10-01,16297.349
2013-01-01,16475.44
2013-04-01,16541.39
2013-07-01,16749.349
2013-10-01,16999.888
2014-01-01,17031.324
2014-04-01,17320.921
2014-07-01,17622.257
2014-10-01,17735.933
2015-01-01,17874.715
2015-04-01,18093.224
2015-07-01,18227.689
2015-10-01,18287.226
2016-01-01,18325.187
2016-04-01,18538.039
2016-07-01,18729.13
2016-10-01,18905.545
2017-01-01,19057.705
2017-04-01,19250.009
2017-07-01,19500.602
2017-10-01,19754.102
2018-01-01,19965.326
