date,predict,trueValue
13/02/2018,3157.250068,3184.96
14/02/2018,3184.96907,3199.16
22/02/2018,3191.006496,3268.56
23/02/2018,3269.965439,3289.02
26/02/2018,3289.173375,3329.57
27/02/2018,3333.334933,3292.07
28/02/2018,3301.598442,3259.41
01/03/2018,3266.820215,3273.75
02/03/2018,3274.255093,3254.53
05/03/2018,3257.242887,3256.93
06/03/2018,3262.649911,3289.64
07/03/2018,3287.84791,3271.67
08/03/2018,3280.861117,3288.41
09/03/2018,3289.999373,3307.17
12/03/2018,3310.121268,3326.7
13/03/2018,3336.004805,3310.24
14/03/2018,3321.409746,3291.38
15/03/2018,3298.31374,3291.11
16/03/2018,3291.877268,3269.88
19/03/2018,3273.612814,3279.25
20/03/2018,3274.660147,3290.64
21/03/2018,3290.806881,3280.95
22/03/2018,3291.295792,3263.48
23/03/2018,3276.837799,3152.76
26/03/2018,3168.705664,3133.72
27/03/2018,3135.2645,3166.65
28/03/2018,3162.437012,3122.29
29/03/2018,3129.366738,3160.53
30/03/2018,3173.805383,3168.9
02/04/2018,3167.949886,3163.18
03/04/2018,3163.899626,3136.63
04/04/2018,3132.958565,3131.11
09/04/2018,3141.104678,3138.29
10/04/2018,3137.171999,3190.32
11/04/2018,3195.789758,3208.08
12/04/2018,3209.972449,3180.16
13/04/2018,3184.664881,3159.05
16/04/2018,3168.351552,3110.65
17/04/2018,3112.735812,3066.8
18/04/2018,3077.831622,3091.4
19/04/2018,3092.486334,3117.38
20/04/2018,3114.222031,3071.54
23/04/2018,3076.896339,3068.01
24/04/2018,3073.956778,3128.93
25/04/2018,3129.729741,3117.97
26/04/2018,3113.803563,3075.03
,,
