date,predict,trueValue,dqn_action
03/01/2017,3095.2678,3105.31,Sell
04/01/2017,3130.073614,3133.79,Buy
05/01/2017,3155.315427,3157.91,Sell
06/01/2017,3160.949758,3163.78,Buy
09/01/2017,3155.867748,3148.53,Sell
10/01/2017,3167.833138,3167.57,Buy
11/01/2017,3157.200467,3156.69,Sell
12/01/2017,3137.915774,3133.6,Buy
13/01/2017,3116.65827,3116.08,Sell
16/01/2017,3113.17624,3104.49,Buy
17/01/2017,3092.036411,3087.03,Sell
18/01/2017,3097.886517,3104.77,Buy
19/01/2017,3107.383607,3104.97,Sell
20/01/2017,3096.293328,3095.82,Buy
23/01/2017,3113.617931,3125.42,Sell
24/01/2017,3136.260915,3134.59,Buy
25/01/2017,3136.594088,3137.65,Sell
26/01/2017,3140.95255,3149.22,Buy
03/02/2017,3154.830366,3160.08,Sell
06/02/2017,3132.631238,3143.09,Buy
07/02/2017,3152.735881,3154.4,Sell
08/02/2017,3150.617055,3148.09,Buy
09/02/2017,3158.045623,3164.69,Sell
10/02/2017,3181.133435,3183.01,Buy
13/02/2017,3198.873231,3198.99,Sell
14/02/2017,3217.863949,3216.14,Buy
15/02/2017,3215.191045,3215.46,Sell
16/02/2017,3216.354068,3210.36,Buy
17/02/2017,3228.170048,3227.71,Sell
20/02/2017,3201.56603,3198.96,Buy
21/02/2017,3237.322845,3242.22,Sell
22/02/2017,3250.305056,3252.69,Buy
23/02/2017,3257.531889,3258.83,Sell
24/02/2017,3247.033863,3246.86,Buy
27/02/2017,3246.321022,3249.19,Sell
28/02/2017,3224.091656,3225.97,Buy
01/03/2017,3237.81168,3240.07,Sell
02/03/2017,3244.233385,3250.52,Buy
03/03/2017,3225.813377,3219.2,Sell
06/03/2017,3220.127121,3217.33,Buy
07/03/2017,3229.67505,3233.09,Sell
08/03/2017,3234.682581,3240.53,Buy
09/03/2017,3233.329393,3233.7,Sell
10/03/2017,3205.774376,3213.73,Buy
13/03/2017,3205.801652,3209.45,Sell
14/03/2017,3227.993173,3235.25,Buy
15/03/2017,3232.781619,3235.4,Sell
16/03/2017,3233.844021,3247.16,Buy
17/03/2017,3267.40717,3271.87,Sell
20/03/2017,3231.518583,3241.11,Buy
21/03/2017,3248.177755,3250.25,Sell
22/03/2017,3260.350006,3246.22,Buy
23/03/2017,3239.335023,3245.81,Sell
24/03/2017,3242.982865,3247.35,Buy
27/03/2017,3266.252614,3268.92,Sell
28/03/2017,3267.575556,3265.63,Buy
29/03/2017,3247.762549,3252.87,Sell
30/03/2017,3239.220745,3235.14,Buy
31/03/2017,3206.458241,3206.25,Sell
05/04/2017,3217.923782,3235.66,Buy
06/04/2017,3270.420853,3272.19,Sell
07/04/2017,3280.490089,3280.62,Buy
10/04/2017,3288.947643,3285.46,Sell
11/04/2017,3270.245831,3266.22,Buy
12/04/2017,3288.183682,3283.84,Sell
13/04/2017,3269.317482,3265.22,Buy
14/04/2017,3271.746671,3276.14,Sell
17/04/2017,3243.639798,3229.95,Buy
18/04/2017,3216.309162,3215.4,Sell
19/04/2017,3192.675269,3184.67,Buy
20/04/2017,3163.091863,3165.67,Sell
21/04/2017,3165.387333,3170.29,Buy
24/04/2017,3168.510268,3164.25,Sell
25/04/2017,3117.837044,3123.89,Buy
26/04/2017,3127.722401,3132.92,Sell
27/04/2017,3136.023568,3131.35,Buy
28/04/2017,3141.153959,3144.02,Sell
02/05/2017,3144.192318,3147.23,Buy
03/05/2017,3139.438662,3138.31,Sell
04/05/2017,3129.461723,3127.11,Buy
05/05/2017,3120.930457,3114.77,Sell
08/05/2017,3096.043432,3090.07,Buy
09/05/2017,3072.163892,3064.85,Sell
10/05/2017,3070.258086,3078.17,Buy
11/05/2017,3047.137681,3036.79,Sell
12/05/2017,3054.818385,3054.11,Buy
15/05/2017,3077.303367,3085.93,Sell
16/05/2017,3087.461337,3082.87,Buy
17/05/2017,3100.371894,3107.8,Sell
18/05/2017,3095.959232,3082.33,Buy
19/05/2017,3082.566378,3086.71,Sell
22/05/2017,3082.925324,3087.17,Buy
23/05/2017,3071.530316,3069.39,Sell
24/05/2017,3057.44916,3047.57,Buy
25/05/2017,3055.289063,3055.34,Sell
26/05/2017,3102.106023,3101.29,Buy
31/05/2017,3108.266861,3125.33,Sell
01/06/2017,3118.065906,3108.42,Buy
02/06/2017,3098.244575,3094.23,Sell
05/06/2017,3102.095563,3102.11,Buy
06/06/2017,3086.775384,3084.54,Sell
07/06/2017,3095.573696,3101.76,Buy
08/06/2017,3140.646805,3136.47,Sell
09/06/2017,3142.611721,3147.45,Buy
12/06/2017,3152.50542,3149.53,Sell
13/06/2017,3138.753855,3134.01,Buy
14/06/2017,3149.061227,3146.75,Sell
15/06/2017,3124.69346,3125.59,Buy
16/06/2017,3126.7159,3126.37,Sell
19/06/2017,3117.190484,3122.16,Buy
20/06/2017,3141.150239,3148.02,Sell
21/06/2017,3136.236587,3148.99,Buy
22/06/2017,3148.797016,3152.24,Sell
23/06/2017,3148.181802,3138.44,Buy
26/06/2017,3151.671389,3157,Sell
27/06/2017,3180.152832,3183.42,Buy
28/06/2017,3184.875806,3183.63,Sell
29/06/2017,3170.431829,3174.98,Buy
30/06/2017,3184.184902,3176.95,Sell
03/07/2017,3184.441109,3192,Buy
04/07/2017,3188.038306,3192.89,Sell
05/07/2017,3175.121632,3179.22,Buy
06/07/2017,3200.503173,3203.86,Sell
07/07/2017,3206.45056,3203.82,Buy
10/07/2017,3206.455299,3208.46,Sell
11/07/2017,3206.453146,3201.52,Buy
12/07/2017,3199.935582,3201.93,Sell
13/07/2017,3192.458554,3192.36,Buy
14/07/2017,3213.41293,3212.03,Sell
17/07/2017,3216.624439,3219.79,Buy
18/07/2017,3164.07223,3159.73,Sell
19/07/2017,3176.715616,3181.4,Buy
20/07/2017,3225.436594,3227.51,Sell
21/07/2017,3236.23462,3236.59,Buy
24/07/2017,3231.587979,3230.9,Sell
25/07/2017,3245.051988,3249.14,Buy
26/07/2017,3239.427412,3244.46,Sell
27/07/2017,3241.719359,3243.76,Buy
28/07/2017,3240.485485,3240.17,Sell
31/07/2017,3243.286017,3252.75,Buy
01/08/2017,3269.625038,3274.37,Sell
02/08/2017,3288.482905,3288.52,Buy
03/08/2017,3277.047859,3279.99,Sell
04/08/2017,3269.776865,3269.32,Buy
07/08/2017,3259.180827,3257.67,Sell
08/08/2017,3274.325684,3277.19,Buy
09/08/2017,3277.097546,3277.81,Sell
